Doc_GUID,Doc_title,Doc_titleCommon
DO-10248357,"Law of 27 February 2018 implementing Regulation (EU) 2015/751 of the European Parliament and of the Council of 29 April 2015 on interchange fees for card-linked payment transactions, and amending:  1.	the amended law of 5 April 1993 relating to the financial sector;  2.	the amended law of 23 December 1998 creating a commission for the supervision of the financial sector;  3.	the amended law of August 5, 2005 on financial guarantee contracts;  4.	the amended law of 11 January 2008 relating to the transparency obligations of issuers;  5.	the amended law of November 10, 2009 on payment services;  6.	the amended law of 17 December 2010 concerning undertakings for collective investment;  7.	the amended law of July 12, 2013 relating to alternative investment fund managers;  8.	the amended law of 7 December 2015 on the insurance sector;  9.	the amended law of 18 December 2015 relating to the failure of credit institutions and certain investment firms; and  10.	of the law of December 23, 2016 on market abuse",
DO-10253386,MAS Notice FAA-N06 (Amendment) 2014 Prevention of money laundering and countering the financing of terrorism – financial advisers,MAS Notice FAA-N06 (Amendment) 2014 Prevention of money laundering and countering the financing of terrorism – financial advisers
DO-10254453,Handling of complaints and queries from investors 2015 Annual Report,Handling of complaints and queries from investors 2015 Annual Report
DO-10258261,Sharing of Information Technology Resources by Banks - Guidelines (DIT.CO (Policy) No.674/09.63.025/2013-14),Sharing of Information Technology Resources by Banks - Guidelines (DIT.CO (Policy) No.674/09.63.025/2013-14)
DO-10259916,Banking (prudential standard) determination No. 2 of 2018  Prudential Standard APS 112 Capital Adequacy: Standardised Approach to Credit Risk,Banking (prudential standard) determination No. 2 of 2018  Prudential Standard APS 112 Capital Adequacy: Standardised Approach to Credit Risk
DO-10260735,"The Act on Norges Bank and the monetary authorities, etc. (Central Bank Act)","The Act on Norges Bank and the monetary authorities, etc. (Central Bank Act)"
DO-10267963,Banks’ Exposure to Commodity Markets - Margin Requirements,Banks’ Exposure to Commodity Markets - Margin Requirements
DO-10276272,BCL CIRCULAR 2007/212 Update of the instructions for the statistical collection of the BCL,BCL CIRCULAR 2007/212 Update of the instructions for the statistical collection of the BCL
DO-10278750,The Consumer Credit (Prescribed Periods for Giving Information) Regulations 1983,The Consumer Credit (Prescribed Periods for Giving Information) Regulations 1983
DO-10298274,INTERNATIONAL STANDARDS  ON COMBATING MONEY LAUNDERING  AND THE FINANCING OF  TERRORISM & PROLIFERATION,INTERNATIONAL STANDARDS  ON COMBATING MONEY LAUNDERING  AND THE FINANCING OF  TERRORISM & PROLIFERATION
DO-10299615,"The Control of Gold, Securities, Payments and Credits (Kuwait) Directions 1990","The Control of Gold, Securities, Payments and Credits (Kuwait) Directions 1990"
DO-10302320,The Guarantee Payments (Exemption) (No. 22) (Amendment) Order 1985,The Guarantee Payments (Exemption) (No. 22) (Amendment) Order 1985
DO-10309699,Circular 4/2010 of 30 July 2010 of Bank of Spain to credit institutions on agents of credit institutions and agreements entered into for the regular provision of financial services,Circular 4/2010 of 30 July 2010 of Bank of Spain to credit institutions on agents of credit institutions and agreements entered into for the regular provision of financial services
DO-10312302,"Summary of deposits surveyfiling for june 30, 2016","Summary of deposits surveyfiling for june 30, 2016"
DO-10312711,Guidelines on key concepts of the AIFMD,Guidelines on key concepts of the AIFMD
DO-10313773,Executive order to prepare interim reports for companies with securities admitted to trading on a regulated market where the company is subject to the Annual Accounts Act,Executive order to prepare interim reports for companies with securities admitted to trading on a regulated market where the company is subject to the Annual Accounts Act
DO-10317017,EXITING THE EUROPEAN UNION FINANCIAL SERVICES AND MARKETS The Financial Services (Consequential Amendments) Regulations 2020,EXITING THE EUROPEAN UNION FINANCIAL SERVICES AND MARKETS The Financial Services (Consequential Amendments) Regulations 2020
DO-10320504,Consumer Credit Act 2006,Consumer Credit Act 2006
DO-10328745,NPCI circular on Migration of NFS ATM Back Office System from Dispute Management System (DMS) to Bharat Clearing and Settlement (BCS) System,NPCI circular on Migration of NFS ATM Back Office System from Dispute Management System (DMS) to Bharat Clearing and Settlement (BCS) System
DO-10336850,Guidelines on Fair Practices Code for Lenders- Disclosing all information relating to processing fees / charges,Guidelines on Fair Practices Code for Lenders- Disclosing all information relating to processing fees / charges
DO-10337281,INSTRUCTION NO. 022-11-2016 ON MODALITES FOR THE DECLARATION OF CREDIT ESTABLISHMENT SUMMARY DOCUMENTS TO THE CENTRAL BANK OF WEST AFRICAN STATES (BCEAO),INSTRUCTION NO. 022-11-2016 ON MODALITES FOR THE DECLARATION OF CREDIT ESTABLISHMENT SUMMARY DOCUMENTS TO THE CENTRAL BANK OF WEST AFRICAN STATES (BCEAO)
DO-10346868,Executive order on the use of derivative financial instruments by Danish UCITS,Executive order on the use of derivative financial instruments by Danish UCITS
DO-10352184,Circular to Licensed Corporations and Associated Entities - Anti-Money Laundering / Counter-Terrorist Financing Publication of Hong Kong’s Money Laundering and Terrorist Financing Risk Assessment Report,Circular to Licensed Corporations and Associated Entities - Anti-Money Laundering / Counter-Terrorist Financing Publication of Hong Kong’s Money Laundering and Terrorist Financing Risk Assessment Report
DO-10354559,"Minimum Check to be followed for the Payment Systems operated under the PSS Act, 2007","Minimum Check to be followed for the Payment Systems operated under the PSS Act, 2007"
DO-10357674,"Commission Delegated Regulation (EU) 2018/1638 of 13 July 2018 supplementing Regulation (EU) 2016/1011 of the European Parliament and of the Council with regard to regulatory technical standards specifying further how to ensure that input data is appropriate and verifiable, and the internal oversight and verification procedures of a contributor that the administrator of a critical or significant benchmark has to ensure are in place where the input data is contributed from a front office function","Commission Delegated Regulation (EU) 2018/1638 of 13 July 2018 supplementing Regulation (EU) 2016/1011 of the European Parliament and of the Council with regard to regulatory technical standards specifying further how to ensure that input data is appropriate and verifiable, and the internal oversight and verification procedures of a contributor that the administrator of a critical or significant b"
DO-10358070,GUIDELINES FOR SEMESTER ASSIGNMENT FOR SECURITIES COMPANY (KRT-1008-1 and KRT-1008-2),GUIDELINES FOR SEMESTER ASSIGNMENT FOR SECURITIES COMPANY (KRT-1008-1 and KRT-1008-2)
DO-10369225,[S.I. No. 27/1995] European Communities (Unfair Terms in Consumer Contracts) Regulations 1995,S.I. No. 27 of 1995 European Communities (Unfair Terms in Consumer Contracts) Regulations 1995
DO-10369311,The Guarantee Payments (Exemption) (No. 28)Order 1990,The Guarantee Payments (Exemption) (No. 28)Order 1990
DO-10377113,Technology Service Provider Contracts,Technology Service Provider Contracts
DO-10377943,"The technology development board act, 1995","The technology development board act, 1995"
DO-10387619,Trusts (Hague Convention) Act 1991,Trusts (Hague Convention) Act 1991
DO-10388149,Final Report Guidelines on creditworthiness assessment,Final Report Guidelines on creditworthiness assessment
DO-10399633,Update on steps to implement a public reporting regime for life insurance claims information,Update on steps to implement a public reporting regime for life insurance claims information
DO-10400256,ASIC Market Integrity Rules (Securities Markets) Class Waiver 2018/269,ASIC Market Integrity Rules (Securities Markets) Class Waiver 2018/269
DO-10400322,Prudential Guidelines on Capital Adequacy and Market Discipline - New Capital Adequacy Framework (NCAF) - Parallel Run and Prudential Floor,Prudential Guidelines on Capital Adequacy and Market Discipline - New Capital Adequacy Framework (NCAF) - Parallel Run and Prudential Floor
DO-10407456,"Commission Delegated Regulation (EU) 2022/2580 of 17 June 2022 supplementing Directive 2013/36/EU of the European Parliament and of the Council with regard to regulatory technical standards specifying the information to be provided in the application for the authorisation as a credit institution, and specifying the obstacles which may prevent the effective exercise of supervisory functions of competent authorities","Commission Delegated Regulation (EU) 2022/2580 of 17 June 2022 supplementing Directive 2013/36/EU of the European Parliament and of the Council with regard to regulatory technical standards specifying the information to be provided in the application for the authorisation as a credit institution, and specifying the obstacles which may prevent the effective exercise of supervisory functions of comp"
DO-10409292,"Commission Delegated Regulation (EU) 2016/957 of 9 March 2016 supplementing Regulation (EU) No 596/2014 of the European Parliament and of the Council with regard to regulatory technical standards for the appropriate arrangements, systems and procedures as well as notification templates to be used for preventing, detecting and reporting abusive practices or suspicious orders or transactions (Text with EEA relevance)","Commission Delegated Regulation (EU) 2016/957 of 9 March 2016 supplementing Regulation (EU) No 596/2014 of the European Parliament and of the Council with regard to regulatory technical standards for the appropriate arrangements, systems and procedures as well as notification templates to be used for preventing, detecting and reporting abusive practices or suspicious orders or transactions (Text w"
DO-10410391,"Commission Delegated Regulation (EU) 2019/396 of 19 December 2018 amending Delegated Regulation (EU) 2015/2205, Delegated Regulation (EU) 2016/592 and Delegated Regulation (EU) 2016/1178 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council as regards the date at which the clearing obligation takes effect for certain types of contracts (Text with EEA relevance.)","Commission Delegated Regulation (EU) 2019/396 of 19 December 2018 amending Delegated Regulation (EU) 2015/2205, Delegated Regulation (EU) 2016/592 and Delegated Regulation (EU) 2016/1178 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council as regards the date at which the clearing obligation takes effect for certain types of contracts (Text with EEA relevance.)"
DO-10416149,Notice TCA-N05 Technology Risk Management,Notice TCA-N05 Technology Risk Management
DO-10416164,"NFA orders London, U.K. introducing broker Marex Spectron International Limited to pay a $250,000 fine","NFA orders London, U.K. introducing broker Marex Spectron International Limited to pay a $250,000 fine"
DO-10416826,European Union (Bank Recovery and Resolution) Resolution Fund Levy Regulations 2022,European Union (Bank Recovery and Resolution) Resolution Fund Levy Regulations 2022
DO-10424864,Master Circular – Scheme of Penalties for bank branches based on performance in rendering customer service to the members of public - DCM (CC) No.G-4/03.44.01/2018-19,Master Circular – Scheme of Penalties for bank branches based on performance in rendering customer service to the members of public - DCM (CC) No.G-4/03.44.01/2018-19
DO-10462925,Act (2014:967) introducing Act (2014:966) on capital buffers,Act (2014:967) introducing Act (2014:966) on capital buffers
DO-10468904,Final Report ESMA’s Technical Advice to the Commission on the effects of product intervention measures,Final Report ESMA’s Technical Advice to the Commission on the effects of product intervention measures
