Doc_GUID,Doc_title,Doc_titleCommon
DO-10248357,"Law of 27 February 2018 implementing Regulation (EU) 2015/751 of the European Parliament and of the Council of 29 April 2015 on interchange fees for card-linked payment transactions, and amending:  1.	the amended law of 5 April 1993 relating to the financial sector;  2.	the amended law of 23 December 1998 creating a commission for the supervision of the financial sector;  3.	the amended law of August 5, 2005 on financial guarantee contracts;  4.	the amended law of 11 January 2008 relating to the transparency obligations of issuers;  5.	the amended law of November 10, 2009 on payment services;  6.	the amended law of 17 December 2010 concerning undertakings for collective investment;  7.	the amended law of July 12, 2013 relating to alternative investment fund managers;  8.	the amended law of 7 December 2015 on the insurance sector;  9.	the amended law of 18 December 2015 relating to the failure of credit institutions and certain investment firms; and  10.	of the law of December 23, 2016 on market abuse",
DO-10253386,MAS Notice FAA-N06 (Amendment) 2014 Prevention of money laundering and countering the financing of terrorism – financial advisers,MAS Notice FAA-N06 (Amendment) 2014 Prevention of money laundering and countering the financing of terrorism – financial advisers
DO-10254453,Handling of complaints and queries from investors 2015 Annual Report,Handling of complaints and queries from investors 2015 Annual Report
DO-10258261,Sharing of Information Technology Resources by Banks - Guidelines (DIT.CO (Policy) No.674/09.63.025/2013-14),Sharing of Information Technology Resources by Banks - Guidelines (DIT.CO (Policy) No.674/09.63.025/2013-14)
DO-10259916,Banking (prudential standard) determination No. 2 of 2018  Prudential Standard APS 112 Capital Adequacy: Standardised Approach to Credit Risk,Banking (prudential standard) determination No. 2 of 2018  Prudential Standard APS 112 Capital Adequacy: Standardised Approach to Credit Risk
DO-10260735,"The Act on Norges Bank and the monetary authorities, etc. (Central Bank Act)","The Act on Norges Bank and the monetary authorities, etc. (Central Bank Act)"
DO-10267963,Banks’ Exposure to Commodity Markets - Margin Requirements,Banks’ Exposure to Commodity Markets - Margin Requirements
DO-10276272,BCL CIRCULAR 2007/212 Update of the instructions for the statistical collection of the BCL,BCL CIRCULAR 2007/212 Update of the instructions for the statistical collection of the BCL
DO-10278750,The Consumer Credit (Prescribed Periods for Giving Information) Regulations 1983,The Consumer Credit (Prescribed Periods for Giving Information) Regulations 1983
DO-10298274,INTERNATIONAL STANDARDS  ON COMBATING MONEY LAUNDERING  AND THE FINANCING OF  TERRORISM & PROLIFERATION,INTERNATIONAL STANDARDS  ON COMBATING MONEY LAUNDERING  AND THE FINANCING OF  TERRORISM & PROLIFERATION
DO-10299615,"The Control of Gold, Securities, Payments and Credits (Kuwait) Directions 1990","The Control of Gold, Securities, Payments and Credits (Kuwait) Directions 1990"
DO-10302320,The Guarantee Payments (Exemption) (No. 22) (Amendment) Order 1985,The Guarantee Payments (Exemption) (No. 22) (Amendment) Order 1985
DO-10309699,Circular 4/2010 of 30 July 2010 of Bank of Spain to credit institutions on agents of credit institutions and agreements entered into for the regular provision of financial services,Circular 4/2010 of 30 July 2010 of Bank of Spain to credit institutions on agents of credit institutions and agreements entered into for the regular provision of financial services
DO-10312302,"Summary of deposits surveyfiling for june 30, 2016","Summary of deposits surveyfiling for june 30, 2016"
DO-10312711,Guidelines on key concepts of the AIFMD,Guidelines on key concepts of the AIFMD
DO-10313773,Executive order to prepare interim reports for companies with securities admitted to trading on a regulated market where the company is subject to the Annual Accounts Act,Executive order to prepare interim reports for companies with securities admitted to trading on a regulated market where the company is subject to the Annual Accounts Act
DO-10317017,EXITING THE EUROPEAN UNION FINANCIAL SERVICES AND MARKETS The Financial Services (Consequential Amendments) Regulations 2020,EXITING THE EUROPEAN UNION FINANCIAL SERVICES AND MARKETS The Financial Services (Consequential Amendments) Regulations 2020
DO-10320504,Consumer Credit Act 2006,Consumer Credit Act 2006
DO-10328745,NPCI circular on Migration of NFS ATM Back Office System from Dispute Management System (DMS) to Bharat Clearing and Settlement (BCS) System,NPCI circular on Migration of NFS ATM Back Office System from Dispute Management System (DMS) to Bharat Clearing and Settlement (BCS) System
DO-10336850,Guidelines on Fair Practices Code for Lenders- Disclosing all information relating to processing fees / charges,Guidelines on Fair Practices Code for Lenders- Disclosing all information relating to processing fees / charges
DO-10337281,INSTRUCTION NO. 022-11-2016 ON MODALITES FOR THE DECLARATION OF CREDIT ESTABLISHMENT SUMMARY DOCUMENTS TO THE CENTRAL BANK OF WEST AFRICAN STATES (BCEAO),INSTRUCTION NO. 022-11-2016 ON MODALITES FOR THE DECLARATION OF CREDIT ESTABLISHMENT SUMMARY DOCUMENTS TO THE CENTRAL BANK OF WEST AFRICAN STATES (BCEAO)
DO-10346868,Executive order on the use of derivative financial instruments by Danish UCITS,Executive order on the use of derivative financial instruments by Danish UCITS
DO-10352184,Circular to Licensed Corporations and Associated Entities - Anti-Money Laundering / Counter-Terrorist Financing Publication of Hong Kong’s Money Laundering and Terrorist Financing Risk Assessment Report,Circular to Licensed Corporations and Associated Entities - Anti-Money Laundering / Counter-Terrorist Financing Publication of Hong Kong’s Money Laundering and Terrorist Financing Risk Assessment Report
DO-10354559,"Minimum Check to be followed for the Payment Systems operated under the PSS Act, 2007","Minimum Check to be followed for the Payment Systems operated under the PSS Act, 2007"
DO-10357674,"Commission Delegated Regulation (EU) 2018/1638 of 13 July 2018 supplementing Regulation (EU) 2016/1011 of the European Parliament and of the Council with regard to regulatory technical standards specifying further how to ensure that input data is appropriate and verifiable, and the internal oversight and verification procedures of a contributor that the administrator of a critical or significant benchmark has to ensure are in place where the input data is contributed from a front office function","Commission Delegated Regulation (EU) 2018/1638 of 13 July 2018 supplementing Regulation (EU) 2016/1011 of the European Parliament and of the Council with regard to regulatory technical standards specifying further how to ensure that input data is appropriate and verifiable, and the internal oversight and verification procedures of a contributor that the administrator of a critical or significant b"
DO-10358070,GUIDELINES FOR SEMESTER ASSIGNMENT FOR SECURITIES COMPANY (KRT-1008-1 and KRT-1008-2),GUIDELINES FOR SEMESTER ASSIGNMENT FOR SECURITIES COMPANY (KRT-1008-1 and KRT-1008-2)
DO-10369225,[S.I. No. 27/1995] European Communities (Unfair Terms in Consumer Contracts) Regulations 1995,S.I. No. 27 of 1995 European Communities (Unfair Terms in Consumer Contracts) Regulations 1995
DO-10369311,The Guarantee Payments (Exemption) (No. 28)Order 1990,The Guarantee Payments (Exemption) (No. 28)Order 1990
DO-10377113,Technology Service Provider Contracts,Technology Service Provider Contracts
DO-10377943,"The technology development board act, 1995","The technology development board act, 1995"
DO-10387619,Trusts (Hague Convention) Act 1991,Trusts (Hague Convention) Act 1991
DO-10388149,Final Report Guidelines on creditworthiness assessment,Final Report Guidelines on creditworthiness assessment
DO-10399633,Update on steps to implement a public reporting regime for life insurance claims information,Update on steps to implement a public reporting regime for life insurance claims information
DO-10400256,ASIC Market Integrity Rules (Securities Markets) Class Waiver 2018/269,ASIC Market Integrity Rules (Securities Markets) Class Waiver 2018/269
DO-10400322,Prudential Guidelines on Capital Adequacy and Market Discipline - New Capital Adequacy Framework (NCAF) - Parallel Run and Prudential Floor,Prudential Guidelines on Capital Adequacy and Market Discipline - New Capital Adequacy Framework (NCAF) - Parallel Run and Prudential Floor
DO-10407456,"Commission Delegated Regulation (EU) 2022/2580 of 17 June 2022 supplementing Directive 2013/36/EU of the European Parliament and of the Council with regard to regulatory technical standards specifying the information to be provided in the application for the authorisation as a credit institution, and specifying the obstacles which may prevent the effective exercise of supervisory functions of competent authorities","Commission Delegated Regulation (EU) 2022/2580 of 17 June 2022 supplementing Directive 2013/36/EU of the European Parliament and of the Council with regard to regulatory technical standards specifying the information to be provided in the application for the authorisation as a credit institution, and specifying the obstacles which may prevent the effective exercise of supervisory functions of comp"
DO-10409292,"Commission Delegated Regulation (EU) 2016/957 of 9 March 2016 supplementing Regulation (EU) No 596/2014 of the European Parliament and of the Council with regard to regulatory technical standards for the appropriate arrangements, systems and procedures as well as notification templates to be used for preventing, detecting and reporting abusive practices or suspicious orders or transactions (Text with EEA relevance)","Commission Delegated Regulation (EU) 2016/957 of 9 March 2016 supplementing Regulation (EU) No 596/2014 of the European Parliament and of the Council with regard to regulatory technical standards for the appropriate arrangements, systems and procedures as well as notification templates to be used for preventing, detecting and reporting abusive practices or suspicious orders or transactions (Text w"
DO-10410391,"Commission Delegated Regulation (EU) 2019/396 of 19 December 2018 amending Delegated Regulation (EU) 2015/2205, Delegated Regulation (EU) 2016/592 and Delegated Regulation (EU) 2016/1178 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council as regards the date at which the clearing obligation takes effect for certain types of contracts (Text with EEA relevance.)","Commission Delegated Regulation (EU) 2019/396 of 19 December 2018 amending Delegated Regulation (EU) 2015/2205, Delegated Regulation (EU) 2016/592 and Delegated Regulation (EU) 2016/1178 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council as regards the date at which the clearing obligation takes effect for certain types of contracts (Text with EEA relevance.)"
DO-10416149,Notice TCA-N05 Technology Risk Management,Notice TCA-N05 Technology Risk Management
DO-10416164,"NFA orders London, U.K. introducing broker Marex Spectron International Limited to pay a $250,000 fine","NFA orders London, U.K. introducing broker Marex Spectron International Limited to pay a $250,000 fine"
DO-10416826,European Union (Bank Recovery and Resolution) Resolution Fund Levy Regulations 2022,European Union (Bank Recovery and Resolution) Resolution Fund Levy Regulations 2022
DO-10424864,Master Circular – Scheme of Penalties for bank branches based on performance in rendering customer service to the members of public - DCM (CC) No.G-4/03.44.01/2018-19,Master Circular – Scheme of Penalties for bank branches based on performance in rendering customer service to the members of public - DCM (CC) No.G-4/03.44.01/2018-19
DO-10462925,Act (2014:967) introducing Act (2014:966) on capital buffers,Act (2014:967) introducing Act (2014:966) on capital buffers
DO-10468904,Final Report ESMA’s Technical Advice to the Commission on the effects of product intervention measures,Final Report ESMA’s Technical Advice to the Commission on the effects of product intervention measures
DO-10474335,Circular CSSF 22/811 on UCI administrators,Circular CSSF 22/811 on UCI administrators
DO-10479420,Law on registration of certain creditors and credit intermediaries,Law on registration of certain creditors and credit intermediaries
DO-10492257,Instruction no. 2019-i-01 of 18 february 2019,
DO-10498394,Section ttt part ii a: outrights - crude oil and refined products,Section ttt part ii a: outrights - crude oil and refined products
DO-10498944,Autonomous Sanctions (Sanction Law) Declaration 2012,Autonomous Sanctions (Sanction Law) Declaration 2012
DO-10498994,Ordinance ⊘ block exemption for categories of vertical agreements and concerted practices in motor ⊘ law ⊘ the railway industry,Ordinance ⊘ block exemption for categories of vertical agreements and concerted practices in motor ⊘ law ⊘ the railway industry
DO-10500657,Unsecured Credit Facilities to Individuals,Unsecured Credit Facilities to Individuals
DO-10512623,FOI Guide,FOI Guide
DO-10523078,US Code TITLE 8—ALIENS AND NATIONALITY,US Code TITLE 8—ALIENS AND NATIONALITY
DO-10526989,Proposed Rule Change to Extend the Effectiveness of Temporary FINRA Rule 3110.17,Proposed Rule Change to Extend the Effectiveness of Temporary FINRA Rule 3110.17
DO-10528382,Amended Draft Mapping of European Rating Agency credit assessments under the Standardised Approach,Amended Draft Mapping of European Rating Agency credit assessments under the Standardised Approach
DO-10532298,"SECURITIES AND EXCHANGE BOARD OF INDIA(ISSUE AND LISTING OF DEBT SECURITIES) REGULATIONS, 2008","SECURITIES AND EXCHANGE BOARD OF INDIA(ISSUE AND LISTING OF DEBT SECURITIES) REGULATIONS, 2008"
DO-10541120,Regulation on prudential supervision of pension funds and on the implementation of pure contribution commitments in occupational retirement provision (Pension Fund Supervisory Regulation - PFAV),Regulation on prudential supervision of pension funds and on the implementation of pure contribution commitments in occupational retirement provision (Pension Fund Supervisory Regulation - PFAV)
DO-10541710,COMMISSION DELEGATED REGULATION EU 2017/867 of 7 February 2017 on classes of arrangements to be protected in a partial property transfer under Article 76 of Directive 2014/59/EU of the European Parliament and of the Council Text with EEA relevance,(EU) 2017/867 - Classes of arrangements protected in partial property transfer under Article 76 Directive 2014/59/EU
DO-10543859,Bankruptcy Act 1966,Bankruptcy Act 1966
DO-10547073,SGX-ST Rules,SGX-ST Rules
DO-10547631,"Circular CSSF 13/555 Implementation of the decision made by the board of directors of the Association pour la Garantie des Dépôts, Luxembourg (AGDL) to introduce a ""Single Customer View"" file within the framework of the deposit guarantee",
DO-10553593,Guidelines On stress test scenarios under the MMF Regulation,Guidelines On stress test scenarios under the MMF Regulation
DO-10554640,FR13/2016 Report on Guidance on the IOSCO Principles for Financial Benchmarks,FR13/2016 Report on Guidance on the IOSCO Principles for Financial Benchmarks
DO-10555793,Amendments to the single post-trading measure,Amendments to the single post-trading measure
DO-10556284,"Judgment of 26 September 2016 amending Article L of 24 August 2006 laying down the categories of prets as the basis for the application of Article L. 314-6 of the Consumer Code and Article L. 313-5-1 of the Monetary and Financial Code, relating to wear and tear","Judgment of 26 September 2016 amending Article L of 24 August 2006 laying down the categories of prets as the basis for the application of Article L. 314-6 of the Consumer Code and Article L. 313-5-1 of the Monetary and Financial Code, relating to wear and tear"
DO-10561568,"Securities and Exchange Board of India (Registrars to an Issue and Share Transfer Agents) Regulations,1993","Securities and Exchange Board of India (Registrars to an Issue and Share Transfer Agents) Regulations,1993"
DO-10565142,Master Circular - Fair Practices Code,Master Circular - Fair Practices Code
DO-10583605,Regulation of bfc no 96-13 of 20 december 1996 on the withdrawal of authorization and the cancelation of credit institutions,Regulation of bfc no 96-13 of 20 december 1996 on the withdrawal of authorization and the cancelation of credit institutions
DO-10588480,Regulation o: extension of credit,Regulation o: extension of credit
DO-10592543,ASIC (Supervisory Cost Recovery Levy—Regulatory Costs) Instrument 2020/1074,
DO-10597148,SECURITIES AND FUTURES (PROVISIONS FOR PERSONS AND MATTERS PREVIOUSLY REGULATED UNDER COMMODITY TRADING ACT) (REVOCATION) REGULATIONS 2018,SECURITIES AND FUTURES (PROVISIONS FOR PERSONS AND MATTERS PREVIOUSLY REGULATED UNDER COMMODITY TRADING ACT) (REVOCATION) REGULATIONS 2018
DO-10608193,Marginal Standing Facility,Marginal Standing Facility
DO-10613950,"Decree No. 2015-243 of March 2, 2015 relating to the notification, by electronic means, to credit institutions, financing companies and organizations managing social protection schemes of certain acts taken for the recovery of debts of any kind","Decree No. 2015-243 of March 2, 2015 relating to the notification, by electronic means, to credit institutions, financing companies and organizations managing social protection schemes of certain acts taken for the recovery of debts of any kind"
DO-10621323,"In the Matter of EXCHANGE TRADED MANAGERS GROUP LLC, ETF MANAGERS GROUP LLC, and SAMUEL R. MASUCCI","In the Matter of EXCHANGE TRADED MANAGERS GROUP LLC, ETF MANAGERS GROUP LLC, and SAMUEL R. MASUCCI"
DO-10621516,ASIC Class Order [CO 00/170] - Transitional relief from fundraising and debenture provisions: pastoral companies and subsidiaries of banks and life companies,ASIC Class Order [CO 00/170] - Transitional relief from fundraising and debenture provisions: pastoral companies and subsidiaries of banks and life companies
DO-10623927,Information Technology Security Evaluation Manual (ITSEM),Information Technology Security Evaluation Manual (ITSEM)
DO-10628724,Composite Loan Limit for SSIs Enhanced,Composite Loan Limit for SSIs Enhanced
DO-10634488,AI_clause.pdf,AI_clause.pdf
DO-10634932,Ordinance (2016:1034) on the ESIS and the calculation of the APR on mortgage credit,Ordinance (2016:1034) on the ESIS and the calculation of the APR on mortgage credit
DO-10644470,"Executive order to measure the Solvency Capital Requirement using an internal model for group 1 insurance undertakings, etc.","Executive order to measure the Solvency Capital Requirement using an internal model for group 1 insurance undertakings, etc."
DO-10674578,"Sub: General Guidelines for dealing with Conflicts of Interest of Intermediaries, Recognised Stock Exchanges, Recognised Clearing Corporations, Depositories and their Associated Persons in Securities Market.","Sub: General Guidelines for dealing with Conflicts of Interest of Intermediaries, Recognised Stock Exchanges, Recognised Clearing Corporations, Depositories and their Associated Persons in Securities Market."
DO-10678257,Advisory opinion to boynton (02-15-00),Advisory opinion to boynton (02-15-00)
DO-10678458,Financial inspection regulations on anti-money laundering and anti-terrorist financing,Financial inspection regulations on anti-money laundering and anti-terrorist financing
DO-10679998,Instruction no. 2016-i-11 amending instruction no. 2015-i-13 on the reporting of prudential financial information for major groups and entities,Instruction no. 2016-i-11 amending instruction no. 2015-i-13 on the reporting of prudential financial information for major groups and entities
DO-10680208,ESMA PROVIDES GUIDANCE ON THE COMPLIANCE FUNCTION UNDER MIFID II,ESMA PROVIDES GUIDANCE ON THE COMPLIANCE FUNCTION UNDER MIFID II
DO-10685360,Introduction of gc fob indo 4200 coal futures,Introduction of gc fob indo 4200 coal futures
DO-10697145,Basel Committee on Banking Supervision's standard number 239,Basel Committee on Banking Supervision's standard number 239
DO-10697586,Amendment of stock option plan without shareholder approval,Amendment of stock option plan without shareholder approval
DO-10700894,INTERNATIONAL REPORT PAGES,INTERNATIONAL REPORT PAGES
DO-10706975,Examinations on controls over customer data protection,Examinations on controls over customer data protection
DO-10714661,"APPROVAL PROCEDURES, PREPARATION OF A DICI1 AND A PROSPECTUS AND PERIODIC INFORMATION ON FRENCH AND FOREIGN UCITS MARKETED IN FRANCE","APPROVAL PROCEDURES, PREPARATION OF A DICI1 AND A PROSPECTUS AND PERIODIC INFORMATION ON FRENCH AND FOREIGN UCITS MARKETED IN FRANCE"
DO-10721435,"Prudential Norms on Income Recognition, Asset Classification and Provisioning pertaining to Advances","Prudential Norms on Income Recognition, Asset Classification and Provisioning pertaining to Advances"
DO-10722381,"Circular to licensed corporations, licensed representatives and registered institutions regarding inquiries from the market about cold shoulder orders and enhancements to the SFC's website","Circular to licensed corporations, licensed representatives and registered institutions regarding inquiries from the market about cold shoulder orders and enhancements to the SFC's website"
DO-10731661,Technical Advice to the European Commission on weekly position reports under MiFID II,Technical Advice to the European Commission on weekly position reports under MiFID II
DO-10739115,Act (2014:966) on capital buffers,Act (2014:966) on capital buffers
DO-10741996,"Marketing/distribution of mutual fund/insurance etc., products by banks",
DO-10744525,Income Statement—Reporting Comprehensive Income (Topic 220)  Reclassification of Certain Tax Effects from  Accumulated Other Comprehensive Income,Income Statement—Reporting Comprehensive Income (Topic 220)  Reclassification of Certain Tax Effects from  Accumulated Other Comprehensive Income
DO-10745843,SECURITIES AND FUTURES (COMPOSITION OF OFFENCES) (AMENDMENT) REGULATIONS 2018,SECURITIES AND FUTURES (COMPOSITION OF OFFENCES) (AMENDMENT) REGULATIONS 2018
DO-10746278,Foreign Portfolio Investment in Corporate debt securities,Foreign Portfolio Investment in Corporate debt securities
DO-10762502,The Sale and Repurchase of Securities (Amendment of Instruments) Order 2007,The Sale and Repurchase of Securities (Amendment of Instruments) Order 2007
DO-10773157,Competition Law (2016:964),Competition Law (2016:964)
DO-10781300,Law 7/2017 of 2 November 2017 transposing into Spanish law Directive 2013/11/EU of the European Parliament and of the Council of 21 May 2013 on alternative dispute resolution in consumer disputes,Law 7/2017 of 2 November 2017 transposing into Spanish law Directive 2013/11/EU of the European Parliament and of the Council of 21 May 2013 on alternative dispute resolution in consumer disputes
DO-10800280,Managing General Agents Act,Managing General Agents Act
DO-10801567,Commission Implementing Regulation (EU) 2020/1227 of 12 November 2019 laying down implementing technical standards with regard to templates for the provision of information in accordance with the STS notification requirements,Commission Implementing Regulation (EU) 2020/1227 of 12 November 2019 laying down implementing technical standards with regard to templates for the provision of information in accordance with the STS notification requirements
DO-10806383,Api2 rotterdam coal average price option (futures style margin),Api2 rotterdam coal average price option (futures style margin)
DO-10814299,Re: relief for swap dealers and major swap participants regarding the obligation to provide certain disclosures for certain transactions under regulation 23.431,Re: relief for swap dealers and major swap participants regarding the obligation to provide certain disclosures for certain transactions under regulation 23.431
